protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,1.10E-04,1.10E-04,1.11E-04,1.12E-04,1.12E-04,1.13E-04,1.14E-04,1.16E-04,1.17E-04,1.18E-04,1.19E-04,1.20E-04,1.21E-04,1.22E-04,1.22E-04,1.23E-04,1.24E-04,1.25E-04,1.25E-04,1.26E-04,1.27E-04
1,9.37E-04,9.39E-04,9.43E-04,9.49E-04,9.57E-04,9.65E-04,9.74E-04,9.84E-04,9.92E-04,0.001001327,0.001010384,0.001018788,0.001026687,0.001034106,0.001041168,0.001047833,0.001053842,0.001059923,0.001065192,0.001070208,0.001074595
2,0.004023268,0.004028928,0.004048256,0.004076786,0.004111789,0.004149506,0.004188656,0.004227924,0.00426672,0.004305035,0.00434177,0.004376701,0.004409685,0.00444025,0.004469685,0.004497457,0.004522265,0.004545324,0.00456675,0.004587782,0.004605766
3,0.011652432,0.011669048,0.011729609,0.011815663,0.011918093,0.012032205,0.012146342,0.012256433,0.012368409,0.012473958,0.01257366,0.012672576,0.012763506,0.012847155,0.012929962,0.012996369,0.013067984,0.013129602,0.013191927,0.013244948,0.013294861
4,0.0256584,0.025691148,0.025827538,0.026024027,0.02625469,0.026496856,0.026746646,0.026986716,0.02721793,0.027437177,0.027652523,0.027846398,0.02803223,0.028202679,0.028369134,0.028520813,0.028650856,0.028786218,0.028899811,0.029011464,0.02911158
5,0.04588545,0.04595131,0.046189953,0.04653309,0.04693701,0.047354758,0.0477778,0.048189323,0.048567675,0.048941463,0.049287815,0.049613595,0.04991188,0.050183676,0.050445937,0.050688293,0.050902423,0.05110769,0.05128672,0.05146708,0.051614106
6,0.06953641,0.06962039,0.06994899,0.07045522,0.07102484,0.071626194,0.07221164,0.07277008,0.07329046,0.073784746,0.07425445,0.07467772,0.075067714,0.07543751,0.07577112,0.076090194,0.07637103,0.076636486,0.07687082,0.07708573,0.077287406
7,0.09192815,0.092028886,0.09242151,0.0930107,0.093682475,0.09438009,0.09503611,0.09567522,0.09625985,0.096819766,0.097329535,0.09779265,0.098232,0.09861668,0.09898705,0.09931688,0.099618,0.09988111,0.10014795,0.10035387,0.100578584
8,0.10835042,0.10843556,0.10880616,0.10937892,0.11001041,0.11066057,0.111299954,0.11187288,0.11240493,0.11290323,0.113363154,0.11378517,0.1141377,0.114498734,0.1148023,0.115108624,0.11532291,0.11557923,0.11580175,0.11599061,0.11614313
9,0.11570058,0.115763545,0.116020404,0.11644808,0.11691356,0.117390074,0.11784355,0.11823241,0.11861933,0.11895483,0.11924998,0.119536564,0.119787864,0.11997785,0.120185934,0.12036466,0.12050677,0.12064819,0.120792985,0.1208836,0.12099195
