protein_num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
time0,4.55E-05,4.55E-04,0.002276569,0.007589394,0.018975507,0.03794142,0.06324263,0.090344824,0.11293304,0.12547627,0.12549491,0.114083685,0.0950697,0.07312176,0.052228935,0.034824084,0.021762598,0.01280401,0.007112712,0.003370667,8.56E-04
time1,0.003759386,0.021002736,0.058659986,0.10923544,0.15252636,0.17035757,0.15852474,0.12638359,0.0880561,0.054453295,0.030231575,0.015195945,0.006961773,0.002919714,0.001124259,3.98E-04,1.29E-04,3.84E-05,1.03E-05,2.30E-06,2.96E-07
time2,0.01889258,0.07501006,0.14891456,0.19700927,0.19546753,0.15509465,0.10249191,0.058040097,0.028741045,0.012641521,0.004998779,0.001795086,5.90E-04,1.79E-04,5.02E-05,1.31E-05,3.20E-06,7.32E-07,1.56E-07,2.86E-08,3.03E-09
time3,0.034133416,0.1153169,0.1947649,0.21926382,0.18508577,0.12497896,0.0703183,0.033906568,0.014300569,0.005360878,0.001808506,5.54E-04,1.56E-04,4.04E-05,9.72E-06,2.18E-06,4.60E-07,9.09E-08,1.69E-08,2.77E-09,2.68E-10
time4,0.042470075,0.13416308,0.21194337,0.22318523,0.17622058,0.11129305,0.058586452,0.026427066,0.010428268,0.003657725,0.001154601,3.31E-04,8.71E-05,2.11E-05,4.77E-06,1.00E-06,1.98E-07,3.66E-08,6.41E-09,9.98E-10,9.42E-11
time5,0.046091992,0.14184304,0.21826467,0.22387378,0.1721618,0.10592708,0.054311424,0.023862008,0.0091731,0.003134418,9.64E-04,2.69E-04,6.90E-05,1.63E-05,3.58E-06,7.34E-07,1.41E-07,2.55E-08,4.35E-09,6.65E-10,6.31E-11
time6,0.047585655,0.14493929,0.22069414,0.22402857,0.17050785,0.10381916,0.05267356,0.022901846,0.008713804,0.002946396,8.97E-04,2.48E-04,6.29E-05,1.47E-05,3.20E-06,6.49E-07,1.23E-07,2.21E-08,3.73E-09,5.67E-10,5.46E-11
time7,0.048236102,0.14625542,0.22170994,0.22403714,0.16974954,0.10290859,0.051986597,0.02250438,0.008525816,0.002869973,8.70E-04,2.39E-04,6.05E-05,1.41E-05,3.05E-06,6.16E-07,1.17E-07,2.08E-08,3.49E-09,5.32E-10,5.21E-11
time8,0.048556924,0.14690301,0.22217368,0.22404362,0.16942097,0.10246209,0.051653873,0.02231253,0.008433058,0.00283365,8.57E-04,2.36E-04,5.93E-05,1.38E-05,2.98E-06,6.00E-07,1.13E-07,2.02E-08,3.38E-09,5.16E-10,5.14E-11
time9,0.048741803,0.14729919,0.22248077,0.22408691,0.16921696,0.102215156,0.051461603,0.022200335,0.008383269,0.002812621,8.49E-04,2.33E-04,5.87E-05,1.36E-05,2.94E-06,5.92E-07,1.12E-07,1.98E-08,3.32E-09,5.08E-10,5.14E-11
time10,0.048873693,0.14755577,0.22269072,0.22404695,0.16907331,0.10205768,0.051322583,0.022129266,0.008346358,0.002798304,8.44E-04,2.32E-04,5.82E-05,1.35E-05,2.91E-06,5.86E-07,1.10E-07,1.96E-08,3.28E-09,5.03E-10,5.16E-11
