protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,4.55E-05,0.003759288,0.018890798,0.034134287,0.042467233,0.046090737,0.04759671,0.0482367,0.048554257,0.048750322,0.048879854,0.048978668,0.04907028,0.049145617,0.049218584,0.04927834,0.049330235,0.049375176,0.049423132,0.049458634,0.049488947
1,4.55E-04,0.021001546,0.07501543,0.11530697,0.13417745,0.1418572,0.14492555,0.14626072,0.14690787,0.14729263,0.14754862,0.14776315,0.14794898,0.14807086,0.1482163,0.1483467,0.1484554,0.14855295,0.14862573,0.14873056,0.14877497
2,0.002276608,0.058654975,0.14891215,0.19473149,0.21195157,0.21827453,0.22067581,0.22171865,0.22221087,0.22245464,0.22268121,0.22282533,0.22296894,0.22311313,0.22316663,0.22328226,0.22335398,0.22341499,0.22348693,0.22356528,0.22361657
3,0.007588776,0.10921812,0.19703674,0.21923502,0.22316203,0.22387896,0.22399373,0.22398779,0.22405075,0.22405565,0.22406004,0.22409286,0.22403753,0.22404042,0.22401121,0.2240132,0.22401129,0.22401515,0.2240405,0.22403924,0.22401036
4,0.01897292,0.15251537,0.19546089,0.18509194,0.1762263,0.17219378,0.17050593,0.16979529,0.16941693,0.16918506,0.16905622,0.16895264,0.16884254,0.16875705,0.16867244,0.16861701,0.16854566,0.16849704,0.16841504,0.16840242,0.16834787
5,0.037949428,0.1703663,0.1550957,0.12498693,0.11131137,0.105929375,0.1038109,0.10291637,0.10248464,0.10222287,0.10203771,0.101901755,0.101761974,0.10166569,0.101568826,0.10149448,0.1014177,0.101380296,0.101315856,0.10125723,0.10121116
6,0.06324684,0.15852413,0.10250965,0.07031312,0.058587875,0.05431285,0.052667826,0.05198462,0.051652018,0.05145784,0.05132471,0.051223077,0.051125783,0.051052365,0.05097676,0.05091864,0.05086331,0.050816316,0.05077525,0.05073269,0.050704427
7,0.090360135,0.12638333,0.05804047,0.033905916,0.026425557,0.023863612,0.02290553,0.022509936,0.022314405,0.022203956,0.022128657,0.022064408,0.022016564,0.021970484,0.02192878,0.021896882,0.021861503,0.021833086,0.021811888,0.021788068,0.02177058
8,0.112928964,0.08805695,0.02874036,0.014300167,0.01042791,0.009172944,0.008714442,0.00852439,0.008435525,0.008380836,0.008346564,0.008318036,0.008293516,0.008271756,0.00825375,0.008238656,0.008222805,0.00820979,0.008197939,0.008189221,0.008179263
9,0.12549144,0.05445464,0.012641105,0.005361331,0.003657602,0.00313483,0.002946928,0.00287024,0.002833984,0.002812268,0.002798376,0.00278674,0.002777678,0.002768731,0.00276149,0.002755043,0.002749214,0.002743993,0.002739551,0.002735114,0.002731472
10,0.12546962,0.03023129,0.004998568,0.001808211,0.001154462,9.64E-04,8.97E-04,8.70E-04,8.57E-04,8.49E-04,8.44E-04,8.40E-04,8.37E-04,8.34E-04,8.32E-04,8.29E-04,8.27E-04,8.25E-04,8.24E-04,8.22E-04,8.21E-04
11,0.11408009,0.015196808,0.001795049,5.54E-04,3.31E-04,2.69E-04,2.48E-04,2.39E-04,2.35E-04,2.33E-04,2.32E-04,2.30E-04,2.29E-04,2.28E-04,2.28E-04,2.27E-04,2.26E-04,2.26E-04,2.25E-04,2.25E-04,2.24E-04
12,0.09507597,0.006962167,5.90E-04,1.56E-04,8.71E-05,6.90E-05,6.29E-05,6.05E-05,5.93E-05,5.87E-05,5.82E-05,5.79E-05,5.76E-05,5.73E-05,5.71E-05,5.69E-05,5.67E-05,5.66E-05,5.64E-05,5.63E-05,5.62E-05
13,0.073125325,0.002919831,1.79E-04,4.04E-05,2.11E-05,1.63E-05,1.47E-05,1.41E-05,1.38E-05,1.36E-05,1.35E-05,1.34E-05,1.33E-05,1.33E-05,1.32E-05,1.32E-05,1.31E-05,1.31E-05,1.31E-05,1.30E-05,1.30E-05
14,0.052230995,0.001124208,5.02E-05,9.72E-06,4.77E-06,3.58E-06,3.20E-06,3.05E-06,2.98E-06,2.94E-06,2.91E-06,2.89E-06,2.87E-06,2.86E-06,2.84E-06,2.83E-06,2.82E-06,2.81E-06,2.80E-06,2.79E-06,2.79E-06
15,0.034819525,3.98E-04,1.31E-05,2.18E-06,1.00E-06,7.34E-07,6.49E-07,6.16E-07,6.00E-07,5.91E-07,5.86E-07,5.81E-07,5.77E-07,5.74E-07,5.71E-07,5.68E-07,5.66E-07,5.64E-07,5.62E-07,5.60E-07,5.59E-07
16,0.021765286,1.29E-04,3.20E-06,4.60E-07,1.98E-07,1.41E-07,1.23E-07,1.16E-07,1.13E-07,1.12E-07,1.10E-07,1.09E-07,1.09E-07,1.08E-07,1.07E-07,1.07E-07,1.06E-07,1.06E-07,1.06E-07,1.05E-07,1.05E-07
17,0.012802616,3.84E-05,7.32E-07,9.09E-08,3.67E-08,2.55E-08,2.21E-08,2.08E-08,2.02E-08,1.98E-08,1.96E-08,1.94E-08,1.93E-08,1.91E-08,1.90E-08,1.89E-08,1.88E-08,1.87E-08,1.87E-08,1.86E-08,1.86E-08
18,0.007112645,1.03E-05,1.56E-07,1.69E-08,6.41E-09,4.35E-09,3.73E-09,3.49E-09,3.38E-09,3.32E-09,3.28E-09,3.25E-09,3.22E-09,3.20E-09,3.18E-09,3.16E-09,3.15E-09,3.13E-09,3.12E-09,3.11E-09,3.10E-09
19,0.003370448,2.30E-06,2.86E-08,2.77E-09,9.98E-10,6.65E-10,5.67E-10,5.32E-10,5.16E-10,5.08E-10,5.03E-10,4.99E-10,4.96E-10,4.93E-10,4.90E-10,4.88E-10,4.86E-10,4.84E-10,4.82E-10,4.81E-10,4.80E-10
20,8.56E-04,2.96E-07,3.03E-09,2.68E-10,9.42E-11,6.31E-11,5.46E-11,5.21E-11,5.14E-11,5.14E-11,5.16E-11,5.18E-11,5.21E-11,5.23E-11,5.25E-11,5.27E-11,5.29E-11,5.30E-11,5.32E-11,5.33E-11,5.34E-11
