protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,4.55E-05,0.003761004,0.018914249,0.03419191,0.042531,0.046165824,0.047662716,0.048306737,0.04862067,0.048804,0.04893153,0.049033824,0.049120497,0.049182758,0.049264625,0.04932289,0.049371634,0.049419813,0.049460474,0.049485378,0.04952691
1,4.55E-04,0.021009604,0.07509746,0.115448706,0.13433698,0.14200628,0.14508398,0.14639072,0.14703123,0.1473987,0.14766301,0.14784877,0.1480125,0.14817214,0.14830321,0.14842702,0.14852397,0.14861286,0.14871234,0.14876719,0.14884089
2,0.002276769,0.058680672,0.14900082,0.19488032,0.21205886,0.21837138,0.22079207,0.22179383,0.2222793,0.22260512,0.22276168,0.22292809,0.22307882,0.22315484,0.2231997,0.2233666,0.22340569,0.22350802,0.2235606,0.22360472,0.22365463
3,0.007588391,0.109241836,0.19710845,0.21928485,0.22319224,0.22382455,0.22397476,0.22404343,0.22402488,0.22406952,0.2240513,0.22403462,0.22406559,0.22403592,0.22403586,0.22403266,0.22404358,0.22403939,0.22404487,0.22403967,0.22403428
4,0.018970532,0.15255348,0.1954717,0.18503137,0.17612776,0.17210616,0.1704061,0.16968527,0.169323,0.16916233,0.16898888,0.16888247,0.16879283,0.16871043,0.16863427,0.16855483,0.16850396,0.1684647,0.16839717,0.1683644,0.16831796
5,0.037941568,0.1703507,0.15503396,0.124875024,0.111195534,0.105826534,0.1037085,0.10282253,0.10240364,0.10213551,0.101961315,0.10182883,0.10172535,0.101617396,0.1015214,0.1014418,0.10137455,0.10132724,0.101268135,0.10121388,0.1011826
6,0.06323538,0.15851022,0.10244018,0.07022546,0.058493845,0.054236956,0.052598484,0.0519121,0.051584642,0.051402524,0.051272202,0.051164266,0.051076133,0.05100755,0.050936285,0.050887626,0.050830647,0.0507846,0.050744593,0.050708648,0.050677486
7,0.09033441,0.12634887,0.057996996,0.03385063,0.02637608,0.023816781,0.02285925,0.022467326,0.022279607,0.022174964,0.022097532,0.022039266,0.021987662,0.021943726,0.021907767,0.021872174,0.02184583,0.02181788,0.021792352,0.021773517,0.021755654
8,0.112913944,0.08803625,0.02870934,0.014274289,0.010402346,0.009151499,0.008694451,0.008506808,0.008419308,0.008366279,0.008331163,0.008304577,0.008282139,0.008261665,0.008242536,0.008227579,0.008213182,0.008200787,0.008189796,0.008179574,0.008172307
9,0.12545441,0.054450773,0.01262171,0.005348028,0.003647135,0.003125129,0.002938544,0.002862623,0.002826751,0.002806671,0.002792514,0.002781734,0.002772396,0.002763886,0.00275697,0.002751395,0.002745192,0.002740689,0.00273575,0.002731961,0.002728895
