ProteinA,ProteinB,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84,time85,time86,time87,time88,time89,time90,time91,time92,time93,time94,time95,time96,time97,time98,time99,time100
0,0,1.1144549895559276e-9,9.290768892078594e-8,4.790220295080124e-7,8.945717166410519e-7,0.0000011525073072984424,0.0000012943942047648068,0.000001379436030989768,0.0000014386143608229538,0.000001485091536808759,0.0000015242126054181444,0.0000015582385464514176,0.0000015882506130083977,0.0000016148730969889794,0.0000016385413123001906,0.0000016596006860165575,0.0000016783443222795092,0.0000016950283678157998,0.0000017098793438478182,0.0000017230984819280616,0.0000017348648421791655,0.0000017453378447915706,0.0000017546594463809482,0.0000017629560549855624,0.0000017703402296624953,0.0000017769121934042176,0.0000017827611811120944,0.000001787966640862907,0.000001792599304410407,0.000001796722141076523,0.0000018003912076565991,0.0000018036564056017849,0.0000018065621555373016,0.000001809147998095249,0.0000018114491290721854,0.0000018134968760583114,0.0000018153191229129426,0.000001816940687771111,0.00000181838365964673,0.0000018196676981573146,0.000001820810300396013,0.000001821827038537106,0.0000018227317713814931,0.0000018235368326911164,0.0000018242531988505065,0.0000018248906381218199,0.0000018254578435114321,0.0000018259625510391646,0.000001826411645014644,0.0000018268112517459712,0.00000182716682294747,0.000001827483209978028,0.0000018277647299171996,0.0000018280152243742133,0.0000018282381118301522,0.0000018284364342210173,0.0000018286128983952698,0.0000018287699130123097,0.0000018289096213778157,0.0000018290339306661059,0.0000018291445379265034,0.0000018292429532259063,0.0000018293305202463235,0.0000018294084346111367,0.0000018294777601947814,0.000001829539443637144,0.0000018295943272597688,0.000001829643160558306,0.0000018296866104299147,0.000001829725270274416,0.0000018297596680926,0.0000018297902736921847,0.000001829817505100765,0.000001829841734272223,0.0000018298632921623295,0.000001829882473249078,0.000001829899539551219,0.0000018299147242059102,0.0000018299282346522846,0.0000018299402554629078,0.0000018299509508647071,0.0000018299604669813222,0.0000018299689338281552,0.0000018299764670878823,0.000001829983169690834,0.0000018299891332197296,0.0000018299944391614973,0.0000018299991600194167,0.0000018300033603036992,0.0000018300070974115145,0.000001830010422413985,0.0000018300133807509134,0.0000018300160128512324,0.0000018300183546880334,0.0000018300204382672856,0.0000018300222920667367,0.0000018300239414235393,0.0000018300254088820178,0.0000018300267145002195,0.0000018300278761246476,0.0000018300289096346994,0.0000018300298291579788
0,1,1.1216332639827988e-8,9.349319692546361e-7,0.000004819909963745017,0.000008999902550174132,0.000011592266699314609,0.000013015368054982592,0.000013865525788583081,0.000014455110610805932,0.000014917003274767647,0.000015305230546534063,0.00001564264948770915,0.000015940165466567206,0.000016204043936632164,0.000016438630265996942,0.00001664735927568906,0.000016833139263428578,0.000016998509231910382,0.000017145713582773284,0.000017276745881874207,0.000017393380044776144,0.000017497195502008535,0.000017589598767835807,0.000017671842394155415,0.000017745041785252383,0.000017810190165190907,0.000017868171915196335,0.000017919774461749867,0.000017965698872759622,0.00001800656930133605,0.000018042941401596892,0.00001807530982754292,0.000018104114914222948,0.000018129748629799782,0.000018152559877612633,0.000018172859218839542,0.000018190923078763207,0.00001820699749284716,0.000018221301442721533,0.000018234029826848706,0.000018245356105707855,0.00001825543465699704,0.000018264402872600237,0.000018272383025531716,0.000018279483931996485,0.00001828580243101716,0.00001829142470162065,0.000018296427435330364,0.000018300878879863673,0.00001830483976815809,0.000018308364145280683,0.000018311500104435685,0.000018314290442053215,0.000018316773240832473,0.00001831898238867196,0.000018320948040502995,0.00001832269702930657,0.000018324253231931182,0.000018325637894625988,0.000018326869922753977,0.00001832796613862027,0.000018328941510907264,0.00001832980935887762,0.00001833058153405868,0.00001833126858193357,0.00001833187988583351,0.000018332423794985223,0.0000183329077384426,0.00001833333832647666,0.000018333721440799525,0.000018334062314846365,0.000018334365605210173,0.000018334635455215213,0.00001833487555148547,0.000018335089174259468,0.000018335279242200577,0.000018335448352232395,0.000018335598815003347,0.00001833573268644473,0.000018335851795838026,0.000018335957770803798,0.000018336052059529124,0.000018336135950543292,0.000018336210590317112,0.000018336276998928483,0.000018336336083985852,0.000018336388653036653,0.000018336435424590717,0.00001833647703793885,0.000018336514061875314,0.000018336547002498654,0.00001833657631009725,0.000018336602385298905,0.000018336625584572204,0.000018336646225070107,0.000018336664588980272,0.000018336680927366574,0.00001833669546361602,0.000018336708396476985,0.00001833671990278183,0.000018336730139869807,0.00001833673924772052
0,2,5.6475704229569104e-8,0.0000047067300120189585,0.000024261979183361144,0.00004529571098089019,0.00005832822586343671,0.00006546641392501533,0.00006971548317886224,0.00007265127514955396,0.0000749450109076186,0.00007686991502882598,0.00007854158351891513,0.00008001502803405235,0.00008132168862072857,0.0000824832460877797,0.00008351676799728846,0.00008443667266642465,0.00008525553387562441,0.00008598446142669419,0.00008663332203282919,0.00008721089522342734,0.00008772499836223067,0.00008818259345340333,0.00008858988086915346,0.00008895238246039259,0.0000892750155327083,0.00008956215877428542,0.0000898177110309116,0.00009004514370423618,0.00009024754746047414,0.00009042767386222681,0.00009058797247034647,0.00009073062390478548,0.00009085756930133015,0.00009097053655440367,0.000091071063694398,0.00009116051971061722,0.00009124012309746629,0.00009131095837143331,0.00009137399078015477,0.00009143007940052809,0.00009147998880141711,0.00009152439942798589,0.00009156391684723335,0.00009159907997911043,0.00009163036842432526,0.00009165820898778961,0.0000916829814855448,0.0000917050239138762,0.00009172463705054412,0.00009174208855028323,0.00009175761659010727,0.00009177143311384898,0.00009178372671987739,0.00009179466523127649,0.00009180439798323136,0.00009181305785872407,0.00009182076310036447,0.0000918276189226901,0.0000918337189470527,0.00009183914647857986,0.00009184397564250665,0.00009184827239553338,0.00009185209542564948,0.00009185549695293224,0.00009185852344218958,0.00009186121623712585,0.00009186361212459256,0.00009186574383672312,0.00009186764049776398,0.00009186932802166621,0.0000918708294658575,0.0000918721653460813,0.00009187335391654126,0.00009187441141907323,0.00009187535230505763,0.00009187618943269011,0.00009187693424260892,0.00009187759691417285,0.00009187818650445324,0.0000918787110719782,0.00009187917778680355,0.00009187959302844034,0.00009187996247300409,0.00009188029117078949,0.00009188058361521516,0.00009188084380426823,0.00009188107529508895,0.00009188128125258831,0.00009188146449263863,0.00009188162752070109,0.00009188177256591845,0.00009188190161156389,0.00009188201642228256,0.00009188211856807272,0.00009188220944582594,0.00009188229029834706,0.00009188236223142183,0.00009188242622885822,0.00009188248316596775,0.0000918825338215609,0.00009188257888850958
0,3,1.897071294942865e-7,0.000015807198607904082,0.0000814705211623942,0.00015207368268094578,0.00019577331848868613,0.0002196487806631433,0.00023380491010495673,0.0002435459292112749,0.00025113404316083826,0.0002574911151231288,0.0002630071198339725,0.00026786712308019575,0.0002721762996388419,0.0002760067364209918,0.0002794149332622891,0.0002824485033393777,0.00028514892006671735,0.00028755281004147465,0.00028969269631267243,0.00029159751782721133,0.0002932930432228268,0.0002948022231351091,0.0002961454989061698,0.00029734107618406243,0.0002984051684336548,0.00029935221398019323,0.000300195069539872,0.00030094518278767443,0.0003016127462168026,0.00030220683429899953,0.000302735525739937,0.0003032060124343872,0.00030362469655586844,0.00030399727706270803,0.00030432882676591954,0.0003046238609818821,0.0003048863986831598,0.0003051200169620998,0.0003053278995356793,0.00030551287994014177,0.0003056774799935892,0.0003058239440438452,0.0003059542694614509,0.0003060702337876795,0.00030617341890375454,0.00030626523254745076,0.0003063469274666358,0.00030641961846926457,0.0003064842976003843,0.00030654184765109837,0.0003065930541826259,0.00030663861622847317,0.00030667915581963456,0.0003067152264623927,0.0003067473206833127,0.0003067758767440141,0.0003068012846175137,0.0003068238913063872,0.0003068440055757168,0.0003068619021651062,0.00030687782553681225,0.00030689199321164005,0.000306904598736929,0.0003069158143278935,0.0003069257932181852,0.00030693467175158543,0.00030694257124308435,0.0003069495996350666,0.00030695585297108236,0.0003069614167071987,0.0003069663668788155,0.0003069707711390646,0.00030697468968277243,0.0003069781760682593,0.00030698127794923216,0.0003069840377253994,0.0003069864931216942,0.00030698867770368815,0.00030699062133597934,0.00030699235059030225,0.00030699388910852935,0.0003069952579256297,0.0003069964757570735,0.00030699755925466345,0.0003069985232338999,0.0003069993808766142,0.0003070001439109718,0.00030700082277180157,0.0003070014267430219,0.00030700196408502833,0.00030700244214711104,0.00030700286746786285,0.00030700324586501636,0.00030700358251451576,0.0003070038820215482,0.0003070041484832606,0.0003070043855450403,0.0003070045964501093,0.00030700478408397975,0.0003070049510140063,0.00030700509952421104
0,4,4.783374395697558e-7,0.0000398473753720228,0.00020533890661916552,0.0003832088112796342,0.0004931693500976568,0.0005530791573928374,0.0005884456345300032,0.0006126722432826142,0.0006314826735037337,0.0006472117622341717,0.0006608469162090076,0.0006728552550377212,0.0006835006433889203,0.0006929627536108723,0.0007013817441646206,0.0007088754166158461,0.000715546251795875,0.0007214847054204059,0.0007267710838866105,0.0007314768417825558,0.0007356656083003515,0.0007393940579534002,0.0007427126723231846,0.0007456664147906749,0.0007482953310082475,0.0007506350841613317,0.0007527174323279442,0.0007545706542148307,0.0007562199288106411,0.0007576876738927298,0.0007589938477966696,0.0007601562183938828,0.0007611906028065808,0.0007621110810151059,0.0007629301861780293,0.0007636590741850338,0.0007643076746933523,0.0007648848256559874,0.0007653983931381038,0.0007658553780212629,0.0007662620110219047,0.0007666238373006925,0.0007669457917977196,0.0007672322663053545,0.0007674871691828436,0.0007677139785180497,0.0007679157894513712,0.0007680953563027601,0.0007682551300713223,0.0007683972918136981,0.0007685237823536358,0.0007686363287254621,0.0007687364677094726,0.0007688255667793473,0.0007689048427447134,0.0007689753783423219,0.0007690381370026306,0.0007690939759900901,0.0007691436580973874,0.0007691878620525361,0.0007692271917797164,0.0007692621846415576,0.0007692933187723044,0.0007693210196039131,0.000769345665673636,0.0007693675937920021,0.0007693871036409683,0.0007694044618657978,0.0007694199057162544,0.0007694336462864552,0.0007694458713976284,0.0007694567481635751,0.0007694664252733793,0.0007694750350216989,0.0007694826951169447,0.0007694895102886115,0.0007694955737182505,0.0007695009683127723,0.0007695057678368754,0.0007695100379212379,0.0007695138369592902,0.0007695172169050254,0.0007695202239830026,0.0007695228993203279,0.0007695252795083162,0.0007695273971030532,0.000769529281070047,0.0007695309571802839,0.000769532448362037,0.0007695337750155608,0.0007695349552907588,0.0007695360053352071,0.0007695369395160769,0.0007695377706154295,0.0007695385100056829,0.0007695391678045132,0.0007695397530138766,0.0007695402736424996,0.0007695407368156824,0.0007695411488729996,0.0007695415154543006
0,5,9.658916232328912e-7,0.00008043809180879661,0.0004144208717841554,0.0007732155981567761,0.000994721422085896,0.0011150250168435647,0.0011856971781539552,0.0012338655614028316,0.0012711287765366517,0.0013022225727563992,0.0013291486732190712,0.0013528507385847973,0.0013738583210076772,0.001392529455556668,0.00140914200633424,0.0014239288429740843,0.0014370922683848188,0.0014488107415104197,0.0014592426645042927,0.001468528974220105,0.0014767951770877892,0.0014841530685721798,0.001490702234832721,0.0014965313820084437,0.001501719519057679,0.0015063370122381406,0.0015104465256783337,0.001514103860392437,0.0015173587026175682,0.0015202552911625369,0.0015228330124237477,0.0015251269308170759,0.0015271682615609287,0.0015289847920134246,0.0015306012571113946,0.0015320396738701572,0.0015333196393749083,0.001534458596218368,0.001535472068923397,0.0015363738745024405,0.001537176309965013,0.0015378903192897247,0.0015385256420986744,0.0015390909460292227,0.001539593944586307,0.0015400415020638872,0.0015404397269459071,0.0015407940550513416,0.0015411093235468173,0.0015413898368256294,0.0015416394251458695,0.0015418614968223361,0.0015420590846787594,0.0015422348873921129,0.0015423913062877113,0.0015425304780853659,0.0015426543040442911,0.0015427644758979834,0.001542862498935012,0.0015429497125392197,0.0015430273084675247,0.0015430963471173287,0.0015431577719995171,0.0015432124226185048,0.0015432610459341662,0.0015433043065613454,0.001543342795844637,0.0015433770399340026,0.0015434075069708226,0.0015434346134818476,0.0015434587300683714,0.0015434801864691375,0.0015434992760652694,0.0015435162598869182,0.0015435313701816443,0.0015435448135863485,0.0015435567739511698,0.0015435674148522266,0.0015435768818262837,0.0015435853043603153,0.0015435927976611085,0.0015435994642296065,0.001543605395261959,0.0015436106718965923,0.001543615366322515,0.0015436195427670555,0.0015436232583732443,0.0015436265639813215,0.0015436295048229024,0.001543632121141964,0.0015436344487426753,0.0015436365194787887,0.0015436383616915339,0.0015436400005949358,0.0015436414586220228,0.0015436427557304398,0.001543643909676773,0.0015436449362581902,0.0015436458495290952,0.0015436466619938875,0.001543647384776623
0,6,0.0000016274594459398286,0.00013548029957076335,0.0006978134779188003,0.0013015822046457402,0.0016737326383919682,0.0018751299111422395,0.001992788084282815,0.0020725263183513226,0.002133958019276408,0.002185097787152379,0.002229330618703405,0.002268245983822736,0.0023027294191953246,0.002333375008473017,0.002360641213600362,0.0023849110401988967,0.0024065167106815688,0.0024257510976453023,0.002442874095505736,0.0024581169309358234,0.002471685520635439,0.0024837632965991215,0.00249451366882522,0.0025040822037897706,0.002512598562613018,0.002520178229027484,0.002526924050935267,0.0025329276157754887,0.0025382704774730216,0.0025430252507883653,0.0025472565872031736,0.002551022045001003,0.0025543728648792664,0.0025573546612366977,0.002560008038213248,0.002562369138599459,0.002564470132870904,0.002566339654825329,0.0025680031896209363,0.00256948341938164,0.002570800530977532,0.0025719724901071294,0.002573015285351217,0.0025739431454705423,0.0025747687328726097,0.00257550331585397,0.0025761569219320277,0.0025767384743416513,0.0025772559135403363,0.0025777163053611685,0.00257812593727882,0.0025784904040930335,0.0025788146841892617,0.002579103207413636,0.0025793599154793454,0.002579588315725725,0.0025797915289650607,0.0025799723320593187,0.00258013319581117,0.002580276318684055,0.0025804036568079047,0.0025805169506844076,0.002580617748946279,0.002580707429501312,0.002580787218348357,0.0025808582063207167,0.0025809213639831075,0.002580977554888284,0.0025810275473732935,0.0025810720250553903,0.002581111596170889,0.00258114680188599,0.002581178123691587,0.0025812059899800216,0.0025812307819025214,0.0025812528385757054,0.0025812724617168136,0.0025812899197681723,0.0025813054515651667,0.0025813192696018694,0.0025813315629356257,0.0025813424997710895,0.0025813522297597974,0.0025813608860470556,0.0025813685870909537,0.0025813754382835548,0.0025813815333909076,0.002581386955835689,0.0025813917798364686,0.0025813960714269535,0.002581399889355049,0.0025814032858859654,0.0025814063075210113,0.0025814089956298436,0.002581411387018697,0.002581413514431905,0.0025814154070020992,0.0025814170906467565,0.002581418588423736,0.0025814199208476322,0.002581421106168124
0,7,0.000002354362998727009,0.00019589488932336937,0.0010086331148932487,0.0018806548799919923,0.002417144397098809,0.0027062783498347422,0.0028741277344865174,0.0029871437070752207,0.0030738027933249214,0.0031457486432971333,0.003207893549900453,0.003262533750539205,0.0033109383191601595,0.0033539513411064087,0.0033922201292006446,0.0034262835448097867,0.0034566081997209623,0.0034836051323821884,0.0035076389956696765,0.0035290341969364787,0.0035480796398672434,0.003565032695775302,0.0035801226579747834,0.003593553795009165,0.0036055080665299056,0.003616147544764593,0.0036256165750919336,0.0036340437040438224,0.0036415433995647074,0.0036482175856181777,0.0036541570108797926,0.0036594424692028703,0.003664145887702966,0.0036683312966479045,0.0036720556938535875,0.0036753698149475634,0.003678318819660325,0.0036809429032178707,0.0036832778409604814,0.003685355473427821,0.0036872041383701963,0.0036888490554726483,0.003690312668938039,0.003691614952519079,0.0036927736811027613,0.0036938046725041845,0.0036947220027163394,0.0036955381975282728,0.0036962644030990193,0.0036969105377879096,0.003697485427297792,0.003697996924962192,0.0036984520188041046,0.0036988569268224863,0.0036992171817937197,0.0036995377067409584,0.003699822882103394,0.003700076605506779,0.0037003023449557583,0.003700503186170602,0.003700681874709391,0.0037008408534568472,0.0037009822959771753,0.0037011081361955217,0.0037012200948111705,0.0037013197028011534,0.0037014083223316473,0.003701487165366654,0.003701557310226605,0.003701619716321461,0.00370167523725957,0.0037017246325133832,0.00370176857779925,0.0037018076743088506,0.003701842456930973,0.0037018734015594,0.0037019009315989843,0.00370192542375475,0.0037019472131801386,0.0037019665980605712,0.0037019838436901627,0.00370199918609851,0.0037020128352782044,0.0037020249780576756,0.003702035780654096,0.003702045390948772,0.003702053940508107,0.0037020615463836956,0.0037020683127112217,0.0037020743321409515,0.003702079687099409,0.0037020844509163863,0.0037020886888338407,0.0037020924588929936,0.00370209581273189,0.0037020987962890516,0.003702101450435394,0.0037021038115305736,0.0037021059119219575,0.0037021077803885633,0.0037021094425315894
0,8,0.0000029867408825720894,0.0002483488741256182,0.0012780992828958619,0.002382002369682886,0.0030596296037254055,0.003423065351555794,0.0036325050303191385,0.0037724630312693692,0.0038791923681856777,0.00396752246329193,0.004043700133958495,0.00411063023463925,0.004169903779155207,0.004222568776068838,0.004269423236104928,0.0043111288043158405,0.004348257295741337,0.004381311992977698,0.004410739237234915,0.004436936072550614,0.004460256093420992,0.0044810143168273996,0.004499491410030472,0.004515937423946628,0.004530575113175068,0.004543602896213326,0.004555197497110542,0.004565516303178983,0.004574699469036559,0.004582871793891281,0.004590144396115865,0.004596616206669511,0.004602375300688887,0.004607500084557062,0.004612060353951825,0.004616118236747723,0.00461972903318298,0.004622941964378573,0.004625800839141556,0.004628344647904361,0.004630608091700071,0.004632622053251971,0.00463441401647328,0.004636008439992968,0.004637427089729544,0.004638689334988646,0.004639812412058023,0.004640811658865314,0.004641700723866297,0.0046424917519800315,0.0046431955500889684,0.004643821734346057,0.004644378861281938,0.004644874544495246,0.004645315558502358,0.004645707931158371,0.0046460570259134375,0.004646367615008003,0.004646643944611892,0.004646889792792401,0.004647108521096207,0.004647303120457229,0.004647476252039064,0.0046476302835814715,0.004647767321744344,0.0046478892408886325,0.004647997708682687,0.00464809420888868,0.004648180061638558,0.0046482564414744906,0.004648324393400211,0.004648384847165281,0.004648438629974616,0.004648486477791656,0.004648529045405407,0.0046485669153782105,0.004648600606011795,0.004648630578435371,0.0046486572429089296,0.004648680964435236,0.004648702067751103,0.004648720841767766,0.004648737543522382,0.004648752401695328,0.004648765619735607,0.004648777378646635,0.004648787839460365,0.00464879714544113,0.004648805424042917,0.004648812788660888,0.0046488193401756596,0.004648825168333038,0.004648830352979187,0.00464883496514651,0.004648839068029998,0.004648842717848548,0.0046488459646185885,0.00464884885283501,0.00464885142208201,0.004648853707576535,0.0046488557406462
0,9,0.0000033779019432480945,0.00028062632561335797,0.0014432405475282544,0.00268817149155769,0.0034502829702196297,0.0038566892019712383,0.004088871040276095,0.004242645410932112,0.004359147360308205,0.004455205316267721,0.0045378936560065775,0.0046104819993500745,0.004674742754201317,0.00473183053168601,0.004782617348411142,0.004827822849461293,0.004868067565558781,0.004903897111584744,0.004935795182110883,0.004964191997757543,0.004989470698015411,0.005011972636229271,0.005032001961895915,0.005049829662689622,0.005065697157790026,0.005079819501779008,0.005092388244119971,0.005103573981716769,0.005113528637238049,0.005122387492235787,0.005130271000997605,0.0051372864083943336,0.005143529192582902,0.005149084351259775,0.005154027548216354,0.005158426135195716,0.0051623400624729605,0.005165822690153981,0.005168921510941187,0.00517167879394761,0.005174132158112271,0.00517631508288267,0.005178257362983214,0.005179985513352942,0.005181523129693624,0.005182891209477995,0.005184108437723789,0.005185191441397855,0.005186155015883617,0.005187012326564397,0.005187775088252158,0.005188453724892166,0.00518905751170408,0.005189594701692612,0.005190072638236429,0.005190497855286073,0.0051908761665416464,0.005191212744806141,0.005191512192604543,0.00519177860502814,0.005192015625654965,0.005192226496318721,0.005192414101385616,0.005192581007156879,0.005192729496932034,0.005192861602209225,0.0051929791304437065,0.005193083689749295,0.005193176710878041,0.005193259466776462,0.005193333089985217,0.005193398588123241,0.005193456857664672,0.00519350869619104,0.0051935548133037225,0.005193595840322734,0.005193632338921407,0.005193664808809428,0.005193693694564993,0.005193719391717626,0.005193742252158253,0.0051937625889518875,0.005193780680620556,0.005193796774955541,0.005193811092404748,0.005193823829092095,0.005193835159498894,0.0051938452388524195,0.005193854205247073,0.005193862181542881,0.005193869277038849,0.005193875588968261,0.0051938812038374825,0.0051938861986024765,0.005193890641727075,0.005193894594116202,0.005193898109954405,0.005193901237443618,0.005193904019465124,0.005193906494168532,0.005193908695489488
