protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84,time85,time86,time87,time88,time89,time90,time91,time92,time93,time94,time95,time96,time97,time98,time99,time100
0,0.0001365598119725386,0.00013668010586434344,0.000137085078172539,0.00013767521494814357,0.00013835245970820033,0.000139041770720987,0.00013969446417512837,0.0001402855037378433,0.00014080640543687848,0.00014125823763978245,0.00014164664957285535,0.0001419789352825756,0.00014226252114924142,0.00014250428942669168,0.000142710339510619,0.0001428859570683,0.00014303567104441563,0.0001431633405679701,0.00014327224579668306,0.00014336517222319565,0.00014344448504192143,0.00014351219320689373,0.00014357000398390902,0.00014361936915926625,0.00014366152409042138,0.00014369752068149301,0.00014372825522789226,0.00014375449193808012,0.00014377688281460685,0.0001437959844700514,0.00014381227236069118,0.0001438261528443858,0.00014383797340287484,0.0001438480313153091,0.00014385658102361525,0.00014386384039200204,0.0001438699960309579,0.00014387520782927897,0.00014387961281504263,0.0001438833284473201,0.0001438864554247408,0.00014388908008384945,0.0001438912764484713,0.00014389310798202518,0.00014389462908718004,0.00014389588638983827,0.00014389691983935388,0.0001438977636516845,0.00014389844711850197,0.00014389899530157802,0.00014389942962894626,0.0001438997684073556,0.00014390002726223555,0.00014390021951635318,0.00014390035651506929,0.00014390044790653624,0.00014390050188232056,0.0001439005253849217,0.000143900524285924,0.00014390050353974392,0.00014390046731563725,0.00014390041911137804,0.00014390036185110404,0.00014390029796953105,0.0001439002294842678,0.00014390015805796377,0.00014390008505193644,0.0001439000115718172,0.00014389993850720355,0.00014389986656521025,0.0001438997962995219,0.00014389972813519007,0.00014389966238975767,0.0001438995992912784,0.00014389953899389478,0.00014389948159079075,0.00014389942712542838,0.0001438993756009934,0.00014389932698835096,0.00014389928123289086,0.000143899238260054,0.00014389919798022508,0.00014389916029258258,0.00014389912508849497,0.000143899092254165,0.0001438990616729689,0.00014389903322717122,0.00014389900679946194,0.00014389898227411705,0.0001438989595379273,0.00014389893848091329,0.0001438989189968366,0.00014389890098365785,0.00014389888434371417,0.0001438988689839635,0.0001438988548160596,0.00014389884175634182,0.00014389882972584356,0.0001438988186501589,0.00014389880845935217,0.0001438987990878324
1,0.0011435420780200145,0.001144638193517315,0.0011483905876694064,0.0011538325415570675,0.0011600083575852983,0.0011662381479661799,0.0011721091251514478,0.0011774207707019196,0.0011821115828344968,0.0011861970350980104,0.0011897282685405907,0.0011927685488996318,0.0011953814282171776,0.0011976255668903397,0.0011995529738126186,0.0012012088449943037,0.0012026320673182676,0.0012038559420357912,0.0012049089306288149,0.0012058153443768559,0.001206595952735425,0.0012072685084945326,0.0012078481964402517,0.001208348014856929,0.001208779099303774,0.001209150997264017,0.0012094719011658914,0.0012097488462033663,0.00120998787839518,0.0012101941974850085,0.0012103722785546296,0.0012105259756211597,0.0012106586099650104,0.0012107730455129984,0.0012108717532338781,0.0012109568661984058,0.0012110302267009526,0.0012110934266248183,0.0012111478420513456,0.0012111946629588068,0.0012112349187298548,0.0012112695000795531,0.001211299177920077,0.0012113246196021608,0.0012113464029115284,0.001211365028137071,0.0012113809284854764,0.0012113944790735943,0.001211406004699012,0.0012114157865581053,0.001211424068056945,0.0012114310598436576,0.0012114369441625988,0.0012114418786302475,0.0012114459995047101,0.0012114494245241384,0.0012114522553647985,0.001211454579777676,0.0012114564734390142,0.0012114580015602397,0.0012114592202830139,0.001211460177891295,0.0012114609158641136,0.0012114614697902382,0.0012114618701615143,0.0012114621430616816,0.0012114623107663417,0.0012114623922603782,0.0012114624036911278,0.0012114623587577583,0.0012114622690516505,0.00121146214435097,0.0012114619928753371,0.001211461821506346,0.0012114616359802416,0.0012114614410521471,0.0012114612406399744,0.0012114610379480876,0.001211460835573787,0.0012114606356002787,0.001211460439674818,0.001211460249078205,0.0012114600647824612,0.0012114598875020855,0.0012114597177365458,0.0012114595558080728,0.0012114594018922983,0.0012114592560456751,0.0012114591182281946,0.0012114589883227955,0.0012114588661517565,0.0012114587514902172,0.0012114586440783762,0.0012114585436303657,0.0012114584498429477,0.0012114583624020438,0.0012114582809879945,0.001211458205280347,0.0012114581349609646,0.0012114580697170853,0.0012114580092436327
2,0.004827221923350111,0.0048321704141424966,0.004849420632252461,0.004874390036960542,0.00490248681040992,0.004930627758220363,0.004957050573211834,0.004980946760807648,0.005002095036600372,0.005020585904826103,0.005036649151633132,0.005050559066029835,0.0050625880007347706,0.0050729865481744345,0.005081977080800598,0.0050897534369215,0.0050964831197983255,0.005102310300606749,0.005107358876542532,0.005111735289593552,0.0051155310152943174,0.005118824716693854,0.005121684091311895,0.005124167448337103,0.005126325053403015,0.005128200274913772,0.005129830561573105,0.0051312482765918654,0.00513248141018711,0.005133554188726008,0.00513448759600816,0.005135299819827232,0.005136006634886898,0.005136621731486114,0.005137156997933167,0.005137622763437896,0.005138028007214943,0.005138380538672149,0.005138687152827617,0.00513895376447716,0.005139185524119692,0.005139386918215097,0.005139561855955814,0.005139713744423032,0.005139845553743675,0.005139959873609009,0.005140058962341951,0.0051401447895177655,0.005140219073014052,0.005140283311233763,0.005140338811143781,0.00514038671269987,0.0051404280101081425,0.00514046357037013,0.005140494149438659,0.005140520406324525,0.0051405429153889015,0.005140562177089192,0.005140578627345194,0.005140592645733857,0.005140604562635979,0.005140614665483196,0.005140623204217625,0.005140630396064584,0.005140636429700081,0.005140641468892616,0.005140645655694471,0.005140649113216273,0.00514065194806924,0.005140654252483065,0.005140656106167822,0.005140657577937901,0.005140658727127949,0.00514065960482893,0.005140660254974815,0.005140660715280203,0.005140661018066908,0.005140661190981829,0.005140661257621664,0.005140661238082394,0.005140661149429345,0.005140661006116109,0.005140660820340422,0.005140660602360969,0.00514066036076646,0.005140660102715859,0.005140659834139349,0.005140659559918546,0.0051406592840398035,0.005140659009727718,0.00514065873956015,0.005140658475566708,0.005140658219316827,0.005140657971990216,0.0051406577344430635,0.005140657507261898,0.005140657290809392,0.005140657085265464,0.005140656890659549,0.0051406567069001196,0.005140656533799644
3,0.013716172935819839,0.013730885257178799,0.013783192580553,0.01385897142240702,0.01394373445757241,0.014028174649513904,0.014107247872613152,0.014178764499634062,0.014242196225531347,0.014297860961762186,0.014346440533458472,0.014388725346592654,0.014425492665341952,0.014457455988931178,0.014485249301559958,0.014509427066322227,0.014530470538575027,0.01454879603153911,0.014564763245754116,0.014578682930035317,0.014590823654671863,0.014601417691903082,0.01461066607898432,0.01461874296196858,0.014625799317903376,0.014631966144265443,0.014637357193280671,0.01464207131802928,0.014646194487278557,0.014649801517597967,0.014652957563904443,0.014655719403501199,0.014658136543286515,0.014660252175483553,0.01466210400342491,0.014663724955740857,0.014665143804614486,0.01466638570148884,0.014667472641665959,0.014668423867565932,0.014669256219040175,0.014669984437956023,0.014670621433205074,0.014671178511438504,0.014671665578135581,0.014672091312907429,0.014672463322454362,0.014672788274090858,0.014673072012387038,0.014673319661107003,0.014673535712336424,0.014673724104487215,0.014673888290522253,0.014674031297735224,0.014674155780072091,0.014674264064018986,0.014674358188775088,0.014674439941521865,0.014674510888307641,0.014674572401183302,0.014674625681976874,0.014674671783165817,0.014674711626198515,0.014674746017581449,0.014674775662990082,0.01467480117965592,0.014674823107265382,0.01467484191748715,0.014674858022386694,0.014674871781767613,0.014674883509648561,0.014674893479942348,0.014674901931433053,0.014674909072143428,0.014674915083189109,0.014674920122129545,0.014674924325931774,0.014674927813561233,0.01467493068825088,0.01467493303950404,0.01467493494482635,0.014674936471270272,0.014674937676763904,0.014674938611295261,0.014674939317931372,0.014674939833728499,0.014674940190507307,0.014674940415546988,0.014674940532185028,0.014674940560342178,0.014674940516980607,0.014674940416500836,0.014674940271096911,0.014674940091050626,0.014674939885003555,0.014674939660185762,0.014674939422612663,0.014674939177263103,0.014674938928224069,0.014674938678823723,0.014674938431744987
4,0.029560796736031614,0.029593060343196503,0.029710278703511422,0.029880709215404196,0.030070669314969198,0.030259199115284623,0.030435440433451675,0.030594914455967598,0.030736674742666673,0.0308615035851909,0.030970898768485848,0.031066556548969535,0.03115013209060005,0.031223142523650205,0.03128693823187407,0.03134270433620197,0.03139147406102178,0.031434145641108975,0.03147149921286027,0.031504212330701574,0.031532873712924375,0.03155799521947457,0.03158002221176069,0.0315993424855495,0.03161629396627983,0.03163117133894664,0.031644231763390776,0.03165569980543394,0.031665771695315856,0.03167461900893018,0.03168239185315963,0.031689221624955785,0.03169522340338715,0.03170049802553023,0.031705133889642925,0.031709208522827145,0.031712789945121465,0.03171593785746744,0.03171870467712848,0.03172113644081357,0.031723273592997765,0.03172515167456713,0.031726801924753995,0.031728251807595864,0.031729525472734756,0.03173064415891063,0.03173162654751593,0.03173248907250972,0.03173324619224713,0.03173391062798677,0.03173449357323903,0.03173500487767922,0.031735453208615094,0.03173584619297749,0.03173619054205133,0.031736492161248776,0.03173675624655703,0.031736987369492084,0.0317371895517561,0.03173736633103993,0.03173752081887629,0.031737655751594256,0.03173777353519274,0.03173787628486673,0.03173796585979488,0.031738043893776186,0.031738111822264777,0.03173817090609373,0.03173822225247917,0.0317382668334214,0.031738305501981624,0.03173833900660418,0.03173836800371295,0.0317383930688034,0.03173841470625719,0.03173843335791738,0.03173844941068919,0.031738463203214835,0.031738475031740404,0.03173848515531002,0.03173849380028426,0.031738501164374974,0.0317385074201417,0.031738512718110186,0.03173851718947904,0.03173852094853611,0.031738524094738436,0.031738526714575215,0.03173852888318847,0.03173853066579925,0.03173853211895921,0.03173853329164276,0.03173853422622519,0.03173853495930663,0.031738535522469136,0.03173853594292256,0.031738536244065974,0.0317385364459943,0.03173853656592049,0.031738536618561054,0.03173853661646968
5,0.05163352147546704,0.05168881880478686,0.05189464519842544,0.05219585223168903,0.052531164671774634,0.05286322605495731,0.053173378192099094,0.05345426027411856,0.05370450396196748,0.053925566142926325,0.05412003040383437,0.05429077077184522,0.05444057526516273,0.05457199775943354,0.05468731624782177,0.054788537199377985,0.054877417687662765,0.05495549262901151,0.05502410181594503,0.05508441474498076,0.05513745267089023,0.055184107905227694,0.05522516059161224,0.05526129324887776,0.0552931033697637,0.055321114337094794,0.05534578488769645,0.055367517324093174,0.05538666464572501,0.055403536747659694,0.0554184058134537,0.055431511011311004,0.0554430625868533,0.05545324543316894,0.05546222220739861,0.05547013605353641,0.05547711298297625,0.05548326395733929,0.0554886867120731,0.05549346735406358,0.05549768176213513,0.0555013968155724,0.05550467147229363,0.055507557715543304,0.05551010138566887,0.055512342911159536,0.055514317951501975,0.05551605796266465,0.055517590694764855,0.05551894063017433,0.05552012936929606,0.055521175970522973,0.05552209724962362,0.05552290804378297,0.055523621444230876,0.05552424900153931,0.05552480090650941,0.05552528614992181,0.05552571266330846,0.05552608744334174,0.05552641666148503,0.05552670576081025,0.05552695954147362,0.05552718223619052,0.05552737757682767,0.05552754885319319,0.0555276989650314,0.055527830467775784,0.05552794561313539,0.055528046384754795,0.05552813452982119,0.05552821158694589,0.055528278910749185,0.05552833769356459,0.05552838898467846,0.055528433707197865,0.055528472673031154,0.055528506596076464,0.05552853610384975,0.05552856174779879,0.05552858401231145,0.055528603322769425,0.05552862005255765,0.05552863452932703,0.05552864704044987,0.05552865783790065,0.055528667142479504,0.05552867514759762,0.055528682022586165,0.05552868791561782,0.055528692956278415,0.05552869725782214,0.055528700919192174,0.05552870402674142,0.05552870665580531,0.05552870887205913,0.05552871073270123,0.05552871228752104,0.05552871357980258,0.055528714647144,0.055528715522176066
6,0.0762760641862402,0.07635239439028452,0.07664456990949321,0.07707633095299637,0.07755753495201964,0.07803375532697941,0.07847855109725253,0.07888186111798906,0.07924200498170045,0.07956112200293054,0.07984282325721656,0.08009107440436003,0.0803097070767229,0.0805022318627986,0.08067178803689419,0.08082115121767697,0.08095276289471122,0.08106876604225335,0.08117104030796556,0.08126123436140797,0.08134079473039316,0.0814109911572359,0.08147293876231229,0.0815276173715062,0.08157588835986185,0.0816185093332372,0.08165614693208509,0.08168938800572162,0.08171874937148081,0.08174468634480281,0.08176760020045759,0.08178784470396487,0.08180573183280611,0.08182153679157585,0.08183550241103964,0.081847843009137,0.08185874778174236,0.08186838378216808,0.08187689854071124,0.08188442236879523,0.08189107038665845,0.08189694430869457,0.08190213401594429,0.08190671894161757,0.08191076929250955,0.08191434712595158,0.08191750729980346,0.08192029831061498,0.0819227630334122,0.0819249393747678,0.08192686084942372,0.08192855708976392,0.08193005429562017,0.08193137563195003,0.08193254158004823,0.08193357024820588,0.08193447764606053,0.08193527792741316,0.08193598360467004,0.0819366057387133,0.08193715410663413,0.08193763735012735,0.0819380631067638,0.08193843812612998,0.08193876837249979,0.08193905911565186,0.08193931501133374,0.08193954017221225,0.08193973823091746,0.08193991239554567,0.08194006549894378,0.0819402000422589,0.08194031823342131,0.08194042202117623,0.08194051312530119,0.0819405930631651,0.08194066317334324,0.08194072463645626,0.08194077849358186,0.08194082566260523,0.08194086695254917,0.08194090307638854,0.08194093466224568,0.0819409622633979,0.0819409863670291,0.08194100740206327,0.08194102574596675,0.08194104173085723,0.0819410556488525,0.08194106775680948,0.08194107828050376,0.08194108741830512,0.0819410953444768,0.08194110221199699,0.08194110815514345,0.08194111329172356,0.08194111772503838,0.08194112154564485,0.08194112483286545,0.08194112765615234,0.08194113007629067
7,0.09819354399976861,0.09827915151207953,0.09861830168337386,0.09912660101765039,0.0996952958257976,0.1002586286852787,0.10078525385415306,0.10126355412023108,0.10169171225325077,0.10207224510270328,0.10240928918295082,0.10270735067619478,0.10297077423570401,0.10320354506431503,0.10340923778983674,0.10359102603645953,0.10375171443022069,0.10389377669169371,0.10401939319849828,0.10413048559979836,0.10422874781727508,0.10431567346480446,0.1043925799699119,0.10446062974842624,0.10452084878082396,0.10457414291036803,0.10462131214749712,0.10466306323121526,0.10470002066546918,0.10473273642140993,0.10476169847115008,0.10478733829807516,0.10481003750933886,0.10483013366090742,0.10484792539122322,0.10486367694739274,0.1048776221773936,0.10488996805268903,0.10490089777760993,0.10491057353478486,0.10491913890999596,0.10492672103467872,0.10493343247931161,0.10493937292702074,0.10494463065349051,0.10494928383566976,0.10495340170946063,0.10495704559388455,0.10496026979739766,0.10496312241996222,0.10496564606293245,0.10496787845772926,0.10496985302211352,0.10497159935306462,0.10497314366296778,0.1049745091662154,0.10497571642129559,0.10497678363413007,0.10497772692646222,0.1049785605739234,0.10497929721670332,0.10497994804625732,0.10498052297074856,0.10498103076165828,0.10498147918360601,0.10498187510936015,0.10498222462190863,0.1049825331045908,0.10498280532131377,0.10498304548728364,0.10498325733190568,0.10498344415445253,0.10498360887332663,0.10498375406969417,0.10498388202628992,0.10498399476156765,0.10498409406012174,0.10498418149957015,0.10498425847433689,0.10498432621681861,0.10498438581595368,0.10498443823385983,0.10498448432039134,0.10498452482617783,0.10498456041403868,0.10498459166922007,0.104984619108307,0.10498464318722982,0.10498466430829732,0.10498468282643195,0.10498469905468377,0.10498471326908872,0.10498472571303531,0.10498473660101186,0.10498474612203874,0.10498475444264423,0.10498476170948379,0.10498476805170272,0.10498477358295723,0.10498477840325722,0.10498478260057673
8,0.1126330355030581,0.11270950066417955,0.11302727264484853,0.1135138735631006,0.11406248210232751,0.11460754437797167,0.11511812808476195,0.11558294874621633,0.11600024735604757,0.116372363953856,0.11670313016558875,0.1169967073984089,0.1172571078403909,0.11748802069162846,0.11769276848627787,0.1178743157093627,0.1180352963167259,0.11817804631355129,0.1183046359197524,0.11841689935373474,0.11851646168975996,0.11860476280083844,0.11868307859767561,0.11875253982996717,0.11881414871709262,0.11886879365617661,0.11891726223024264,0.11896025271550892,0.11899838426259239,0.11903220590687569,0.11906220454407337,0.11908881199179738,0.11911241124261895,0.11913334200256454,0.11915190559753173,0.11916836932039412,0.11918297028315629,0.11919591883106535,0.11920740156891037,0.11921758404377744,0.11922661312353298,0.11923461910597125,0.11924171758911373,0.1192480111297934,0.119253590714865,0.11925853706606296,0.11926292179754958,0.1192668084427163,0.11927025336517433,0.1192733065669511,0.11927601240547342,0.11927841022999024,0.1192805349458931,0.11928241751579807,0.11928408540385205,0.11928556297033305,0.11928687182142525,0.11928803111998247,0.11928905786092053,0.11928996711595888,0.11929077225052742,0.11929148511631851,0.11929211622217933,0.11929267488579404,0.11929316936818325,0.11929360699304671,0.11929399425283932,0.11929433690255435,0.11929464004333958,0.11929490819629882,0.11929514536823575,0.11929535510991901,0.11929554056770197,0.11929570452931687,0.11929584946465777,0.11929597756171706,0.1192960907586441,0.1192961907721181,0.11929627912247637,0.11929635715612291,0.1192964260651957,0.1192964869052356,0.11929654061065031,0.11929658800859629,0.1192966298311454,0.11929666672622051,0.11929669926711264,0.11929672796106633,0.11929675325681703,0.11929677555129153,0.11929679519554497,0.11929681249999104,0.11929682773912438,0.11929684115556698,0.1192968529637938,0.11929686335335933,0.11929687249174711,0.11929688052694677,0.11929688758965676,0.11929689379530103,0.11929689924580003
9,0.1170978359756326,0.11714720976176052,0.11737133543427161,0.11772847530843895,0.11813748249731616,0.11854663866764399,0.11893154543236305,0.11928333758131492,0.11960051509385089,0.11988465715395243,0.12013843522087082,0.12036476277152477,0.12056645821857528,0.1207461264722424,0.12090612939807444,0.12104859053719277,0.12117541184598321,0.12128829367584743,0.1213887546608034,0.12147815033944695,0.12155769017296772,0.12162845293662669,0.12169140057390664,0.12174739063691585,0.12179718744205201,0.12184147206459435,0.12188085128641993,0.1219158656024301,0.12194699638048671,0.12197467226184035,0.12199927487984484,0.12202114396808217,0.12204058192094515,0.12205785786437895,0.12207321128824315,0.12208685528651203,0.12209897944690264,0.12210975242730357,0.12211932425246098,0.12212782836073306,0.12213538342778191,0.12214209499140333,0.12214805689876113,0.12215335259514995,0.12215805627174749,0.12216223388738567,0.12216594407821361,0.12216923896732278,0.12217216488536886,0.12217476301183054,0.12217706994552642,0.12217911821249362,0.12218093671743711,0.12218255114568129,0.1221839843203741,0.12218525652055105,0.12218638576360431,0.12218738805688668,0.12218827762106096,0.12218906708906306,0.12218976768273385,0.12219038936992767,0.12219094100421124,0.12219143044909964,0.12219186468838494,0.12219224992420075,0.12219259166438184,0.12219289479974331,0.12219316367319566,0.12219340214075775,0.12219361362604952,0.12219380116865404,0.12219396746701969,0.12219411491657078,0.12219424564374762,0.12219436153598644,0.12219446426855067,0.12219455532829962,0.12219463603476864,0.12219470755901796,0.12219477094015728,0.12219482710027323,0.12219487685746441,0.12219492093759671,0.1221949599846024,0.12219499456977038,0.12219502519982499,0.12219505232424094,0.1221950763416731,0.12219509760568083,0.12219511642980818,0.12219513309206949,0.12219514783900812,0.12219516088917559,0.12219517243634549,0.12219518265230482,0.12219519168931743,0.12219519968235955,0.12219520675103746,0.12219521300133472,0.12219521852716855
